-637.020,-637.020,-637.020,-637.102,-637.102
-643.488,-646.756,-646.756,-646.835,-646.835
-650.535,-651.072,-651.072,-651.147,-651.147
-645.437,-645.437,-645.437,-645.522,-645.522
-646.333,-643.371,-643.371,-643.446,-643.446
-646.596,-649.903,-649.903,-649.975,-649.975
-646.417,-646.920,-646.920,-647.013,-647.013
-644.259,-644.258,-644.258,-644.367,-644.367
-647.541,-645.806,-645.806,-645.892,-645.892
-647.553,-647.553,-647.553,-647.638,-647.638
-650.836,-650.836,-650.836,-650.913,-650.913
-649.528,-649.528,-649.528,-649.607,-649.607
-647.202,-647.244,-647.244,-647.322,-647.322
-652.678,-651.234,-652.688,-652.422,-652.422
-644.938,-644.938,-644.938,-645.033,-645.033
-646.398,-646.398,-646.398,-646.485,-646.485
-643.307,-644.762,-644.762,-644.849,-644.849
-645.200,-648.149,-648.467,-648.552,-648.552
-648.580,-648.580,-648.580,-648.666,-648.666
-647.914,-648.860,-647.675,-648.946,-647.766
-648.969,-648.969,-648.969,-649.053,-649.053
-649.110,-649.110,-649.110,-649.193,-649.193
-647.313,-647.313,-647.313,-647.389,-647.389
-648.246,-649.937,-649.937,-650.011,-650.011
-648.721,-648.721,-648.721,-648.800,-648.800
-647.704,-647.704,-647.704,-647.778,-647.778
-650.302,-650.302,-650.302,-650.381,-650.381
-649.655,-649.655,-649.655,-649.737,-649.737
-649.010,-649.010,-649.010,-649.090,-649.090
-641.737,-641.737,-641.737,-641.818,-641.818
