 0.013,-0.004
-0.172,-0.176
 0.237, 0.229
-0.705,-0.759
-0.590,-0.597
 0.947, 0.946
-0.587,-0.662
-0.541,-0.607
-0.257,-0.476
-0.727,-0.753
-0.185,-0.735
-0.537,-0.549
-0.698,-0.698
-0.046,-0.126
-0.368,-0.416
-0.047,-0.047
-0.766,-0.777
 0.646, 0.632
-0.043,-0.043
-0.725,-0.725
-0.741,-0.742
-0.778,-0.779
-0.589,-0.600
-0.726,-0.725
-0.613,-0.613
-0.737,-0.751
-0.725,-0.725
-0.588,-0.588
-0.734,-0.734
-0.617,-0.617
-0.670,-0.723
-0.616,-0.617
-0.698,-0.699
-0.698,-0.698
-0.755,-0.754
-0.777,-0.774
-0.772,-0.767
-0.620,-0.705
-0.689,-0.777
-0.703,-0.703
-0.728,-0.727
-0.605,-0.606
 0.481, 0.439
-0.483,-0.485
-0.093,-0.066
-0.716,-0.712
-0.733,-0.733
-0.555,-0.585
-0.537,-0.538
-0.444,-0.581
-0.713,-0.714
-0.627,-0.625
-0.657,-0.657
-0.371,-0.447
-0.369,-0.365
-0.650,-0.654
-0.171,-0.333
 0.400, 0.431
-0.725,-0.725
-0.648,-0.648
-0.714,-0.714
-0.756,-0.757
-0.777,-0.774
-0.777,-0.777
-0.763,-0.771
-0.776,-0.775
-0.720,-0.716
-0.628,-0.647
-0.657,-0.657
-0.657,-0.657
-0.743,-0.743
-0.691,-0.735
-0.616,-0.692
-0.584,-0.620
-0.701,-0.702
-0.533,-0.533
-0.497,-0.496
-0.761,-0.748
-0.640,-0.642
 0.237, 0.113
-0.707,-0.707
-0.433,-0.435
-0.542,-0.554
-0.710,-0.711
-0.744,-0.744
-0.596,-0.614
-0.731,-0.731
 0.374, 0.362
 0.164, 0.142
-0.770,-0.774
-0.376,-0.695
-0.771,-0.775
-0.774,-0.774
-0.773,-0.777
-0.777,-0.772
-0.777,-0.777
-0.774,-0.777
-0.775,-0.775
-0.697,-0.697
-0.713,-0.713
-0.364,-0.390
-0.697,-0.700
-0.726,-0.727
-0.599,-0.656
-0.527,-0.664
-0.722,-0.722
-0.609,-0.667
-0.670,-0.669
-0.582,-0.579
-0.666,-0.669
-0.426,-0.427
-0.614,-0.616
-0.742,-0.777
-0.675,-0.668
-0.561,-0.643
-0.463,-0.464
-0.679,-0.689
 0.543, 0.460
-0.588,-0.588
 1.341,-0.501
-0.754,-0.755
-0.698,-0.700
-0.694,-0.700
-0.755,-0.754
-0.752,-0.752
-0.760,-0.780
-0.773,-0.765
-0.492,-0.679
-0.501,-0.499
-0.649,-0.650
-0.479,-0.479
-0.333,-0.444
 0.170, 0.036
-0.585,-0.630
-0.613,-0.613
-0.571,-0.603
-0.734,-0.735
-0.583,-0.700
-0.644,-0.653
-0.596,-0.596
-0.565,-0.565
 0.147, 0.128
-0.260,-0.372
-0.443,-0.457
-0.553,-0.561
-0.676,-0.682
-0.651,-0.649
-0.740,-0.740
-0.477,-0.604
-0.062,-0.075
-0.593,-0.604
-0.641,-0.700
-0.754,-0.754
-0.754,-0.754
-0.695,-0.714
-0.727,-0.728
-0.748,-0.749
-0.739,-0.739
-0.731,-0.731
 0.241, 0.215
-0.711,-0.711
-0.697,-0.697
-0.686,-0.687
-0.564,-0.565
-0.679,-0.679
-0.715,-0.715
-0.686,-0.686
-0.704,-0.705
-0.497,-0.518
-0.682,-0.683
-0.711,-0.711
-0.388,-0.499
-0.543,-0.549
-0.539,-0.600
-0.623,-0.612
-0.398,-0.524
-0.626,-0.727
-0.094,-0.093
 0.219,-0.340
-0.617,-0.617
-0.590,-0.596
-0.768,-0.766
-0.754,-0.754
-0.754,-0.754
-0.730,-0.730
-0.726,-0.728
-0.732,-0.719
-0.675,-0.693
-0.591,-0.593
 0.255,-0.168
-0.699,-0.700
-0.548,-0.569
-0.718,-0.719
-0.405,-0.627
-0.591,-0.637
-0.471,-0.503
 0.767
-0.535,-0.537
-0.735,-0.736
-0.709,-0.710
-0.731,-0.732
-0.724,-0.724
-0.735,-0.735
-0.717,-0.717
-0.726,-0.726
-0.165,-0.156
-0.751,-0.751
-0.508,-0.504
-0.036,-0.218
 0.182, 0.206
-0.663,-0.664
-0.725,-0.726
-0.744,-0.750
-0.653,-0.667
